Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Heyholidays,Seed,1000000.0,Bangalore,"Heyholidays, a global player in online vacation rentals.",Hospitality,2018,,Nan
Pratilipi,Series A,4300000.0,Bangalore,Amazon's kindle direct publishing for indian languages,Digital media,2018,,Nan
Sectorqube,Seed,0.0,Ernakulam,Sectorqube develops smart kitchen devices that make food automatically.,Robotics,2018,,Nan
Food memories,Seed,0.0,Ahmedabad,Iconic indian delicacies from the most renowned vendors of india delivered globally.,Food and Beverages,2018,,Nan
Zamroo,Seed,0.0,Noida,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,E-commerce,2018,,Nan
Silversparro technologies pvt. ltd,Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,Education,2018,,Nan
Creator’s gurukul,Seed,0.0,Gurgaon,A coworking space provider.,Startup hub,2018,,Nan
Emflux motors,Seed,364846.0,Bangalore,Emflux motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Renewable energy,2018,,Nan
Tricog health services pvt ltd,Series A,4000000.0,Bangalore,Predictive healthcare analytics company,Healthcare,2018,,Nan
Scapic,Seed,500000.0,Bangalore,Virtual/augmented reality start up .,Saas,2018,,Nan
6degree,Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Fashion,2018,,Nan
Chrysalis (ez vidya),Seed,0.0,Chennai,Chrysalis (ez vidya) is india’s leading educational research and innovation organization,Education,2018,,Nan
Ekincare,Series A,1500000.0,Hyderabad,Ekincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Healthcare,2018,,Nan
Streo,Seed,0.0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",Entertainment,2018,,Nan
Groww,Seed,120000.0,Kormangala,Groww offers a new way of investing money.,Fintech,2018,,Nan
Cell propulsion,Seed,102200.0,Bangalore,Cell propulsion is an electric mobility startup that designs autonomous electric vehicles.,Fintech,2018,,Nan
